epoch,train_loss,train_reconstruction,train_kl,test_loss,test_reconstruction,test_kl
1,214.5073655843099,206.64013158365884,7.8672344776491325,180.71282160644532,175.03042873535156,5.682392460632324
2,176.86654837239584,171.44175427246094,5.424793837738037,173.79988828125,168.65602666015624,5.143861608886719
3,172.15946731770833,166.95726638997397,5.2022009943644205,170.05591735839843,164.8764686767578,5.179447496032715
4,168.66927317708334,163.48214107259113,5.187132216389974,167.08914145507813,161.83797705078126,5.251164707946777
5,165.89304423828125,160.7060430419922,5.187001214853923,164.8577279785156,159.921971875,4.935755709838867
6,163.62870024414062,158.4393034016927,5.189397531636556,162.68115837402343,157.51739855957032,5.16375997467041
7,161.63247357584635,156.36589322102864,5.266580170440673,160.90371955566405,155.70859365234375,5.195125718688965
8,159.83814838867187,154.49891883951824,5.339230031585694,159.3415381347656,153.7717338623047,5.569803723144531
