epoch,train_loss,train_reconstruction,train_kl,test_loss,test_reconstruction,test_kl
1,179.32439650065103,155.74201085205078,23.5823860232989,131.70609184570313,101.014640234375,30.691451220703126
2,122.61762893473308,91.86931767985025,30.74831106669108,115.58520974121093,84.42624083251953,31.15896925354004
3,113.61593477783204,83.20819681396485,30.407738016764323,110.71060249023438,80.19055294189454,30.52005008239746
4,110.40604350179036,80.50195276285807,29.904090709431966,108.54542611083984,78.09328006591797,30.452146292114257
5,108.67477174479167,79.15278612060547,29.521985586547853,107.24381641845703,78.14030810546875,29.103508364868166
6,107.45020283610026,78.26290348714193,29.18729910583496,106.30431763916016,75.61586768798828,30.68844970703125
7,106.57219762369792,77.66347467447916,28.908722835286458,105.45975739746093,77.35619051513672,28.10356697692871
8,105.85970283203125,77.17809627278646,28.681606641642254,104.85252253417968,75.78286657714844,29.069655767822265
