epoch,train_loss,train_reconstruction,train_kl,test_loss,test_reconstruction,test_kl
1,194.387991796875,179.37825930175782,15.009732633805275,142.17483317871094,126.58057741699218,15.594254565429688
2,135.9717553873698,120.54781283772786,15.423942452494304,129.7432262451172,114.01310773925782,15.730119073486328
3,128.1570330118815,112.40551809895834,15.751514900716145,125.23329750976562,108.81068599853516,16.422612078857423
4,124.27919186604818,108.42696259358723,15.852229220581055,121.72074166259766,105.46327098388672,16.2574703125
5,121.71112801513672,105.82466230061848,15.886466062927246,119.94916741943359,103.94522393798829,16.00394306335449
6,119.77258165690104,103.82230182291667,15.950279994710286,117.80311423339843,101.61372340087891,16.189390124511718
7,118.16251468098959,102.14899133707682,16.013522985839845,116.60180405273438,100.56459180908203,16.037211712646485
8,116.86262410481771,100.75012071533203,16.112503498331705,115.51787938232422,99.33946320800781,16.17841649169922
