Configuration,Lambda diversity,mode_count,normalized_entropy,classifier_confidence,feature_diversity,within_class_diversity,Recovery seconds
Collapsed start,,1,0.009371033869683743,0.9570500254631042,15.760384559631348,9.532559871673584,
lambda=0,0.0,1,0.020235707983374596,0.9443082213401794,14.526440620422363,10.269272089004517,2001.1705808639526
lambda=0.1,0.1,1,0.021068770438432693,0.9421865940093994,15.802743911743164,13.34424877166748,2015.8449459075928
lambda=0.5,0.5,1,0.0015328619629144669,0.978675901889801,16.672792434692383,16.74960708618164,1990.0232949256897
lambda=1,1.0,1,0.016811015084385872,0.9743213057518005,16.52321434020996,10.31273365020752,1984.5081741809845
